filename,plate_text,plate_type
plate_0000.jpg,RJ70WT7399,india_old_private
plate_0001.jpg,NL70ZW9755,india_hsrp_private
plate_0002.jpg,GJ75JU1085,india_hsrp_commercial
plate_0003.jpg,AB83ABC,foreign_uk_style
plate_0004.jpg,LD06LF3623,india_hsrp_private
plate_0005.jpg,HP36KK5152,india_hsrp_private
plate_0006.jpg,CH65AH4810,india_hsrp_private
plate_0007.jpg,NY424MNP,foreign_us_generic
plate_0008.jpg,JK38FU1263,india_hsrp_commercial
plate_0009.jpg,MH87ZT4282,india_hsrp_private
plate_0010.jpg,FL842MNP,foreign_us_generic
plate_0011.jpg,AP32CR8108,india_hsrp_private
plate_0012.jpg,CD284MN,foreign_eu_generic
plate_0013.jpg,DN20LG6095,india_hsrp_private
plate_0014.jpg,LD61JL9419,india_hsrp_private
plate_0015.jpg,PY42TY1882,india_old_private
plate_0016.jpg,DL80BK2479,india_hsrp_private
plate_0017.jpg,DD77AR1307,india_hsrp_commercial
plate_0018.jpg,AP60EC7686,india_hsrp_private
plate_0019.jpg,ML40HU4430,india_hsrp_private
plate_0020.jpg,MN66AH2314,india_old_commercial
plate_0021.jpg,93752,foreign_gulf_style
plate_0022.jpg,MH47BH1071,india_hsrp_commercial
plate_0023.jpg,RJ26LG2804,india_hsrp_commercial
plate_0024.jpg,SK90MR4996,india_hsrp_commercial
plate_0025.jpg,GA60PU4978,india_hsrp_private
plate_0026.jpg,MH79DX5654,india_hsrp_ev
plate_0027.jpg,AR28JD2358,india_hsrp_ev
plate_0028.jpg,UK26SY5065,india_hsrp_commercial
plate_0029.jpg,HR86PW7324,india_hsrp_ev
plate_0030.jpg,SK97FF5952,india_hsrp_commercial
plate_0031.jpg,CH23HL6315,india_hsrp_commercial
plate_0032.jpg,NL77GL1610,india_hsrp_commercial
plate_0033.jpg,EF45XYZ,foreign_uk_style
plate_0034.jpg,AS94JV2257,india_hsrp_private
plate_0035.jpg,TN91WK7720,india_hsrp_private
plate_0036.jpg,TN67AY8527,india_hsrp_commercial
plate_0037.jpg,NL39RY7194,india_hsrp_commercial
plate_0038.jpg,MP51YU5069,india_hsrp_private
plate_0039.jpg,PB63JR8238,india_hsrp_private
plate_0040.jpg,GA14MY3960,india_old_private
plate_0041.jpg,KA85VC1429,india_old_commercial
plate_0042.jpg,TN16TD1515,india_old_ev
plate_0043.jpg,WB81LR9717,india_hsrp_private
plate_0044.jpg,DN10KX9035,india_hsrp_private
plate_0045.jpg,RJ29JY9237,india_hsrp_commercial
plate_0046.jpg,GH773XY,foreign_eu_generic
plate_0047.jpg,DN15UY8751,india_hsrp_private
plate_0048.jpg,SK52TY2819,india_hsrp_commercial
plate_0049.jpg,MN58MZ6673,india_hsrp_commercial
plate_0050.jpg,AB696MN,foreign_eu_generic
plate_0051.jpg,JK60FR4867,india_hsrp_private
plate_0052.jpg,TS59VZ9514,india_hsrp_private
plate_0053.jpg,AS72ZG8109,india_hsrp_commercial
plate_0054.jpg,JH34MF5112,india_hsrp_commercial
plate_0055.jpg,TN55VV5629,india_hsrp_private
plate_0056.jpg,DL67AR2065,india_hsrp_private
plate_0057.jpg,TS03NS8377,india_hsrp_commercial
plate_0058.jpg,CD12ABC,foreign_uk_style
plate_0059.jpg,UP66GS2357,india_hsrp_commercial
plate_0060.jpg,PB98BK9675,india_hsrp_ev
plate_0061.jpg,PB34FH5702,india_hsrp_commercial
plate_0062.jpg,AB80KLM,foreign_uk_style
plate_0063.jpg,TR55TD3775,india_hsrp_private
plate_0064.jpg,PY13XS7913,india_old_private
plate_0065.jpg,DD46CL4322,india_hsrp_private
plate_0066.jpg,GA36XM5110,india_old_ev
plate_0067.jpg,KL59RX1642,india_hsrp_commercial
plate_0068.jpg,KA14AX5968,india_hsrp_private
plate_0069.jpg,CA167ABC,foreign_us_generic
plate_0070.jpg,LD05MV7360,india_hsrp_commercial
plate_0071.jpg,MZ17DH7351,india_hsrp_private
plate_0072.jpg,LD51GJ8436,india_hsrp_commercial
plate_0073.jpg,FL924XYZ,foreign_us_generic
plate_0074.jpg,RJ07PP4553,india_hsrp_ev
plate_0075.jpg,WB09FN5463,india_hsrp_private
plate_0076.jpg,KA25YE8140,india_hsrp_commercial
plate_0077.jpg,UP20GF1677,india_hsrp_ev
plate_0078.jpg,MH90AD2491,india_hsrp_private
plate_0079.jpg,NL99LM6974,india_hsrp_private
plate_0080.jpg,UK13RP3985,india_hsrp_commercial
plate_0081.jpg,JH68CL5237,india_hsrp_commercial
plate_0082.jpg,CH34BL8881,india_old_private
plate_0083.jpg,WB96TH4319,india_hsrp_private
plate_0084.jpg,LD86CM2295,india_hsrp_private
plate_0085.jpg,OR45EK8279,india_old_commercial
plate_0086.jpg,MP13SC2656,india_hsrp_commercial
plate_0087.jpg,SK48XZ2041,india_old_commercial
plate_0088.jpg,MP66BN9672,india_hsrp_private
plate_0089.jpg,UK82CN8608,india_hsrp_private
plate_0090.jpg,MN12CR6789,india_hsrp_private
plate_0091.jpg,AB307XY,foreign_eu_generic
plate_0092.jpg,LD79EY6344,india_hsrp_private
plate_0093.jpg,JK69DZ7367,india_hsrp_private
plate_0094.jpg,HP51KR4774,india_hsrp_commercial
plate_0095.jpg,AB702MN,foreign_eu_generic
plate_0096.jpg,CA155MNP,foreign_us_generic
plate_0097.jpg,CD71ABC,foreign_uk_style
plate_0098.jpg,CH24WJ7684,india_hsrp_private
plate_0099.jpg,DD24KA3898,india_hsrp_commercial
plate_0100.jpg,BR25KW2606,india_hsrp_private
plate_0101.jpg,45509,foreign_gulf_style
plate_0102.jpg,CH78SN3022,india_hsrp_commercial
plate_0103.jpg,JH68HT7081,india_hsrp_commercial
plate_0104.jpg,PB65DY5498,india_old_private
plate_0105.jpg,NL87FK6368,india_old_commercial
plate_0106.jpg,GJ34NH2851,india_hsrp_private
plate_0107.jpg,JK74JS7679,india_old_private
plate_0108.jpg,KL11ZS5178,india_old_private
plate_0109.jpg,MZ73ZM6231,india_old_private
plate_0110.jpg,AR49DD4680,india_hsrp_commercial
plate_0111.jpg,UK45ET4712,india_hsrp_commercial
plate_0112.jpg,ML75JU8058,india_old_ev
plate_0113.jpg,PB38NF8701,india_hsrp_private
plate_0114.jpg,WB38VB9579,india_hsrp_private
plate_0115.jpg,KL45ED3468,india_hsrp_private
plate_0116.jpg,TR89CD3047,india_old_private
plate_0117.jpg,MP16DZ6686,india_hsrp_ev
plate_0118.jpg,AB53XYZ,foreign_uk_style
plate_0119.jpg,BR87ZP8832,india_hsrp_ev
plate_0120.jpg,HR01MC9428,india_hsrp_private
plate_0121.jpg,KA88NS5250,india_old_private
plate_0122.jpg,AP72TK6691,india_hsrp_private
plate_0123.jpg,87430,foreign_gulf_style
plate_0124.jpg,AN65SN5949,india_hsrp_commercial
plate_0125.jpg,MZ41FY3517,india_hsrp_commercial
plate_0126.jpg,UK58HE5692,india_old_private
plate_0127.jpg,GA81YM9383,india_hsrp_private
plate_0128.jpg,AR80DE1624,india_old_private
plate_0129.jpg,MZ55DS1288,india_hsrp_commercial
plate_0130.jpg,MH63DD1227,india_hsrp_private
plate_0131.jpg,DD39VC5426,india_old_private
plate_0132.jpg,JK86BE4878,india_hsrp_private
plate_0133.jpg,DL95HT2783,india_hsrp_commercial
plate_0134.jpg,GA65CE1532,india_hsrp_commercial
plate_0135.jpg,JK84EK5570,india_hsrp_private
plate_0136.jpg,AP85TJ2378,india_old_ev
plate_0137.jpg,CA705MNP,foreign_us_generic
plate_0138.jpg,HP58SS2878,india_hsrp_private
plate_0139.jpg,RJ62ZT2316,india_old_ev
plate_0140.jpg,UP55FU4187,india_hsrp_private
plate_0141.jpg,PB73ED2587,india_hsrp_commercial
plate_0142.jpg,JK35NC6513,india_hsrp_commercial
plate_0143.jpg,MP72RB7192,india_old_commercial
plate_0144.jpg,33804,foreign_gulf_style
plate_0145.jpg,PY49DM4591,india_hsrp_private
plate_0146.jpg,MN05PS8274,india_hsrp_ev
plate_0147.jpg,KL06VM9343,india_hsrp_commercial
plate_0148.jpg,KL41YP1375,india_hsrp_commercial
plate_0149.jpg,AR65RG7032,india_hsrp_commercial
plate_0150.jpg,NL28YY5223,india_old_private
plate_0151.jpg,AP51TV4285,india_hsrp_commercial
plate_0152.jpg,MZ46NR3912,india_hsrp_commercial
plate_0153.jpg,GH498MN,foreign_eu_generic
plate_0154.jpg,74251,foreign_gulf_style
plate_0155.jpg,AS73DB5536,india_hsrp_private
plate_0156.jpg,MH75WH6760,india_hsrp_private
plate_0157.jpg,UP03RS9502,india_old_private
plate_0158.jpg,BR24RK2365,india_hsrp_private
plate_0159.jpg,DN72FN6534,india_hsrp_commercial
plate_0160.jpg,ML26DA1821,india_hsrp_private
plate_0161.jpg,PY64AY7938,india_old_private
plate_0162.jpg,TX514ABC,foreign_us_generic
plate_0163.jpg,NL20YZ9698,india_hsrp_private
plate_0164.jpg,CA173ABC,foreign_us_generic
plate_0165.jpg,OR73SS3751,india_hsrp_commercial
plate_0166.jpg,AS32JM3139,india_hsrp_private
plate_0167.jpg,MZ22VZ6011,india_hsrp_commercial
plate_0168.jpg,MH31KP4253,india_hsrp_private
plate_0169.jpg,JH49RE5786,india_hsrp_private
plate_0170.jpg,TS34MV8444,india_hsrp_private
plate_0171.jpg,UK56PD9530,india_hsrp_private
plate_0172.jpg,AN22EF2741,india_hsrp_commercial
plate_0173.jpg,95961,foreign_gulf_style
plate_0174.jpg,UK34TS5519,india_hsrp_private
plate_0175.jpg,TR34FJ7137,india_hsrp_commercial
plate_0176.jpg,TR80FY2260,india_old_commercial
plate_0177.jpg,NL42JA4755,india_hsrp_private
plate_0178.jpg,GH678MN,foreign_eu_generic
plate_0179.jpg,AR98UW5393,india_hsrp_private
